XY pos,Real 80 EI1,Real 100 EI1,Real 120 EI1,Sim 70 EI1,Sim 80 EI1,Sim 90 EI1,Sim 100 EI1,Sim 110 EI1,Sim 120 EI1,Real 80 EI2,Real 100 EI2,Real 120 EI2,Sim 70 EI2,Sim 80 EI2,Sim 90 EI2,Sim 100 EI2,Sim 110 EI2,Sim 120 EI2,Real 80 EI3,Real 100 EI3,Real 120 EI3,Sim 70 EI3,Sim 80 EI3,Sim 90 EI3,Sim 100 EI3,Sim 110 EI3,Sim 120 EI3
96,-0.000333333333333,0.000666666666667,0.004,-0.00387088,-0.00704776,0.00199114,0.00147359,0.0560358,0.299234,0.0003,0.0003,0.0223,-0.0020,-0.0218,-0.0159,-0.0204,0.0679,0.3489,-0.003666666666667,0,0.023333333333333,0.000659664,0.00320896,0.0172722,0.0119176,0.0729509,0.383372
94,-0.000666666666667,0,0.010666666666667,-0.00387091,-0.00704779,0.00199116,0.00147361,0.153348,0.402624,0.0000,0,0.0713,0.0062,-0.0194,-0.0204,-0.0236,0.1749,0.4677,-0.004666666666667,-0.000333333333333,0.087333333333333,-0.00482268,0.0123355,0.0160298,0.0089293,0.194898,0.515771
92,-0.000333333333333,0,0.069333333333333,-0.0038709,-0.00704777,0.00199116,0.00147361,0.256121,0.507153,0.0000,0.0013,0.173,0.0142,-0.0110,-0.0236,-0.0120,0.2894,0.5870,-0.004,0.004333333333333,0.214666666666667,-0.0124149,0.0149558,0.0154528,-0.00214115,0.323811,0.64894
90,0,0.000333333333333,0.126666666666667,-0.0038709,-0.00704778,0.00199116,0.0867925,0.361254,0.61178,-0.0003,0.0007,0.2687,0.0196,-0.0034,-0.0224,0.1026,0.4067,0.7067,-0.004333333333333,0.002333333333333,0.331333333333333,-0.00521867,0.0174859,0.0119208,0.12113,0.455123,0.782596
88,-0.000333333333333,0.002,0.230666666666667,-0.0038709,-0.00704778,0.00199116,0.189035,0.466492,0.716553,0.0003,0.0017,0.392,-0.0110,0.0070,-0.0209,0.2181,0.5252,0.8267,-0.003666666666667,0.004,0.471666666666667,0.00243289,0.0150135,0.00892832,0.248507,0.58769,0.917074
86,-0.000333333333333,0.001,0.317333333333333,-0.0038709,-0.00704778,0.0399936,0.293999,0.57212,0.821471,-0.0003,0.0033,0.4867,-0.0180,0.0142,0.0223,0.3365,0.6445,0.9469,-0.003666666666667,0.020333333333333,0.588,0.00800737,0.0138339,0.0665404,0.378627,0.720567,1.05165
84,0.000333333333333,0.007,0.426,-0.0038709,-0.00704778,0.135305,0.400327,0.678138,0.926508,0.0003,0.079,0.6113,-0.0214,0.0190,0.1305,0.4556,0.7642,1.0671,-0.003666666666667,0.11,0.739,0.015621,0.00990624,0.185731,0.510365,0.854976,1.18627
82,-0.000666666666667,0.060333333333333,0.532666666666667,-0.0038709,0.00432593,0.237058,0.506909,0.784354,1.0316,-0.0003,0.146,0.7297,-0.0238,-0.0125,0.2456,0.5758,0.8842,1.1873,-0.004,0.199666666666667,0.879333333333333,0.016176,-0.00110741,0.312848,0.643323,0.989346,1.32088
80,0.002,0.137333333333333,0.647,-0.0038709,0.0965108,0.341815,0.613651,0.890661,1.13669,0.0007,0.2637,0.857,-0.0218,0.0968,0.3644,0.6965,1.0042,1.3075,-0.000333333333333,0.343333333333333,1.03166666666667,0.0167297,0.113097,0.44329,0.776583,1.12161,1.45546
78,0.001333333333333,0.213,0.745333333333333,-0.0038709,0.195038,0.448159,0.720394,0.996958,1.24178,0.0030,0.3543,0.974,-0.0087,0.2085,0.4851,0.8173,1.1243,1.4277,0.001,0.444666666666667,1.17066666666667,0.0135813,0.238557,0.575337,0.910528,1.25558,1.59001
76,0.002,0.328,0.854666666666667,0.0479058,0.296997,0.555354,0.827526,1.10322,1.3468,0.0080,0.477,1.0943,0.0555,0.3251,0.6066,0.9384,1.2443,1.5478,0.024333333333333,0.593,1.32633333333333,0.0604073,0.368681,0.707567,1.04454,1.38928,1.72442
74,0.004333333333333,0.424333333333333,0.977333333333333,0.139476,0.400927,0.662831,0.934692,1.20943,1.45178,0.0623,0.5923,1.2327,0.1614,0.4442,0.7280,1.0596,1.3644,1.6678,0.101,0.726333333333333,1.48766666666667,0.176026,0.50073,0.841173,1.17855,1.52292,1.85871
72,0.061666666666667,0.542,1.08966666666667,0.238676,0.505723,0.769885,1.04256,1.31571,1.55671,0.1453,0.721,1.354,0.2744,0.5642,0.8490,1.1808,1.4843,1.7878,0.216666666666667,0.877333333333333,1.64433333333333,0.30205,0.632456,0.97467,1.31253,1.65652,1.99288
70,0.118666666666667,0.64,1.20566666666667,0.341674,0.610858,0.876348,1.15007,1.42167,1.66182,0.2297,0.832,1.487,0.3902,0.6845,0.9701,1.3022,1.6042,1.9076,0.314666666666667,1.01166666666667,1.792,0.431578,0.764971,1.10808,1.44646,1.79023,2.12689
68,0.222,0.758333333333333,1.315,0.446228,0.716136,0.982876,1.2581,1.5276,1.76636,0.3537,0.9603,1.6073,0.5071,0.8049,1.0917,1.4231,1.7170,2.0212,0.457333333333333,1.154,1.94466666666667,0.561682,0.897486,1.24135,1.58014,1.91802,2.26073
66,0.312333333333333,0.872666666666667,1.44666666666667,0.55137,0.821424,1.09007,1.3658,1.63345,1.87112,0.4660,1.0953,1.7503,0.6244,0.9242,1.2131,1.5447,1.8366,2.1398,0.592666666666667,1.318,1.94533333333333,0.691831,1.02958,1.37431,1.71356,2.05176,2.39435
64,0.427333333333333,0.986666666666667,1.55966666666667,0.656825,0.92661,1.19748,1.47319,1.73919,1.97579,0.5897,1.216,1.857,0.7392,1.0427,1.3344,1.6658,1.9558,2.2584,0.738333333333333,1.47466666666667,2.03,0.820817,1.16044,1.50672,1.84662,2.18441,2.52773
62,0.519,1.10066666666667,1.676,0.761922,1.03157,1.30463,1.58039,1.84482,2.08037,0.7023,1.3473,1.9943,0.8547,1.1614,1.4556,1.7866,2.0742,2.3769,0.865666666666667,1.613,2.154,0.947707,1.28956,1.63799,1.97913,2.31632,2.66085
60,0.640333333333333,1.20066666666667,1.77833333333333,0.86589,1.12931,1.41145,1.68734,1.95028,2.18484,0.8310,1.4693,2.111,0.9682,1.2802,1.5750,1.9046,2.1925,2.4952,1.00966666666667,1.74766666666667,2.27533333333333,1.0746,1.41849,1.7688,2.11078,2.44771,2.7936
