Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  8.51      0.04     0.04   180033     0.00     0.00  luke::update_state(mjModel_ const*, mjData_*)
  6.38      0.07     0.03    60000     0.00     0.00  luke::check_settling()
  4.26      0.09     0.02 17102607     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long)
  4.26      0.11     0.02 16308854     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
  4.26      0.13     0.02  4612500     0.00     0.00  luke::myNum::myNum(int, int)
  4.26      0.15     0.02  3600700     0.00     0.00  luke::QPos::update(mjModel_ const*, mjData_ const*, int)
  4.26      0.17     0.02   764172     0.00     0.00  luke::myNum::init(double*, int, int)
  2.13      0.18     0.01  6597224     0.00     0.00  luke::myNum::~myNum()
  2.13      0.19     0.01  5399160     0.00     0.00  double* std::__niter_base<double*>(double*)
  2.13      0.20     0.01  3785123     0.00     0.00  std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::size() const
  2.13      0.21     0.01  3601500     0.00     0.00  std::_Bit_iterator::operator*() const
  2.13      0.22     0.01  3240036     0.00     0.00  std::__array_traits<int, 2ul>::_S_ref(int const (&) [2], unsigned long)
  2.13      0.23     0.01  3240036     0.00     0.00  std::array<int, 2ul>::operator[](unsigned long)
  2.13      0.24     0.01  1387543     0.00     0.00  bool __gnu_cxx::__is_null_pointer<char>(char*)
  2.13      0.25     0.01  1387543     0.00     0.00  std::iterator_traits<char*>::difference_type std::distance<char*>(char*, char*)
  2.13      0.26     0.01  1260070     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator++()
  2.13      0.27     0.01  1136684     0.00     0.00  std::vector<luke::ObjectHandler::Contact, std::allocator<luke::ObjectHandler::Contact> >::operator[](unsigned long)
  2.13      0.28     0.01  1015200     0.00     0.00  void arma::arma_check<char [37]>(bool, char const (&) [37])
  2.13      0.29     0.01   900000     0.00     0.00  MjType::Sensor::ready_to_read(double)
  2.13      0.30     0.01   679828     0.00     0.00  luke::Gripper::get_x_step()
  2.13      0.31     0.01   679828     0.00     0.00  luke::Gripper::update_xy()
  2.13      0.32     0.01   636528     0.00     0.00  luke::Gripper::get_z_step()
  2.13      0.33     0.01   540138     0.00     0.00  std::vector<int, std::allocator<int> >::end()
  2.13      0.34     0.01   540099     0.00     0.00  luke::Gripper::calc_y(double)
  2.13      0.35     0.01   180033     0.00     0.00  luke::update_all(mjModel_ const*, mjData_*)
  2.13      0.36     0.01   180033     0.00     0.00  luke::update_objects(mjModel_ const*, mjData_*)
  2.13      0.37     0.01   180000     0.00     0.00  luke::control_base(mjModel_ const*, mjData_*)
  2.13      0.38     0.01   180000     0.00     0.00  luke::control_gripper(mjModel_ const*, mjData_*, luke::Gripper&)
  2.13      0.39     0.01    63446     0.00     0.00  luke::ObjectHandler::Contact* std::__uninitialized_copy<false>::__uninit_copy<luke::ObjectHandler::Contact const*, luke::ObjectHandler::Contact*>(luke::ObjectHandler::Contact const*, luke::ObjectHandler::Contact const*, luke::ObjectHandler::Contact*)
  2.13      0.40     0.01    52512     0.00     0.00  luke::myNum::additive_operator(luke::myNum const&, int)
  2.13      0.41     0.01    51740     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_M_deallocate(float*, unsigned long)
  2.13      0.42     0.01    43200     0.00     0.00  void arma::arma_check<char [53]>(bool, char const (&) [53])
  2.13      0.43     0.01    10800     0.00     0.00  bool arma::auxlib::qr_econ<double, arma::Mat<double> >(arma::Mat<double>&, arma::Mat<double>&, arma::Base<double, arma::Mat<double> > const&)
  2.13      0.44     0.01     4500     0.00     0.01  luke::ObjectHandler::get_all_contacts(mjModel_ const*, mjData_*)
  2.13      0.45     0.01       33     0.30     0.30  std::vector<int, std::allocator<int> >::resize(unsigned long, int const&)
  2.13      0.46     0.01                             void std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::emplace_back<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&)
  1.06      0.47     0.01  3601498     0.00     0.00  std::_Bit_iterator_base::_Bit_iterator_base(unsigned long*, unsigned int)
  1.06      0.47     0.01                             std::_Bit_reference::operator=(std::_Bit_reference const&)
  0.00      0.47     0.00  3601931     0.00     0.00  std::vector<luke::QPos, std::allocator<luke::QPos> >::operator[](unsigned long)
  0.00      0.47     0.00  3601500     0.00     0.00  std::_Bit_reference::_Bit_reference(unsigned long*, unsigned long)
  0.00      0.47     0.00  3601464     0.00     0.00  std::_Bit_iterator::_Bit_iterator(unsigned long*, unsigned int)
  0.00      0.47     0.00  3601460     0.00     0.00  std::vector<bool, std::allocator<bool> >::operator[](unsigned long)
