Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 11.32      0.06     0.06  9020000     0.00     0.00  luke::myNum::myNum(int, int)
  8.49      0.11     0.05  7040500     0.00     0.00  luke::QPos::update(mjModel_ const*, mjData_ const*, int)
  7.55      0.15     0.04  7041080     0.00     0.00  std::_Bit_reference::_Bit_reference(unsigned long*, unsigned long)
  5.66      0.18     0.03  9474456     0.00     0.00  luke::myNum::~myNum()
  5.66      0.21     0.03  1760000     0.00     0.00  MjType::Sensor::ready_to_read(double)
  4.72      0.23     0.03   784823     0.00     0.00  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char*>(char*, char*, std::forward_iterator_tag)
  3.77      0.25     0.02  7041044     0.00     0.00  std::_Bit_iterator::_Bit_iterator(unsigned long*, unsigned int)
  3.77      0.27     0.02  4311670     0.00     0.00  __gnu_cxx::__enable_if<std::__is_char<char>::__value, bool>::__type std::operator==<char>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  3.77      0.29     0.02  1056118     0.00     0.00  std::vector<int, std::allocator<int> >::end()
  3.77      0.31     0.02   391970     0.00     0.00  luke::ObjectHandler::Contact::check_involves(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
  1.89      0.32     0.01  7041080     0.00     0.00  std::_Bit_iterator::operator*() const
  1.89      0.33     0.01  7041078     0.00     0.00  std::_Bit_iterator_base::_Bit_iterator_base(unsigned long*, unsigned int)
  1.89      0.34     0.01  7041040     0.00     0.00  std::vector<bool, std::allocator<bool> >::operator[](unsigned long)
  1.89      0.35     0.01  3771128     0.00     0.00  std::char_traits<char>::compare(char const*, char const*, unsigned long)
  1.89      0.36     0.01  3520076     0.00     0.00  bool __gnu_cxx::operator!=<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&)
  1.89      0.37     0.01  2464294     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  1.89      0.38     0.01  2464070     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator++()
  1.89      0.39     0.01  1256716     0.00     0.00  double* std::__niter_base<double*>(double*)
