Flat profile: (luke: total time 52.6558)

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.86     0.00  1943544     0.00     0.00  void arma::arma_check<char [37]>(bool, char const (&) [37])
  0.00      0.86     0.00  1737888     0.00     0.00  std::remove_reference<int&>::type&& std::move<int&>(int&)
  0.00      0.86     0.00  1723000     0.00     0.00  MjType::Sensor::ready_to_read(double)
  0.00      0.86     0.00  1388687     0.00     0.00  luke::ObjectHandler::Contact const& std::forward<luke::ObjectHandler::Contact const&>(std::remove_reference<luke::ObjectHandler::Contact const&>::type&)
  0.00      0.86     0.00  1306862     0.00     0.00  luke::Gripper::calc_th(double, double)
  0.00      0.86     0.00  1306862     0.00     0.00  luke::Gripper::update_xy()
  0.00      0.86     0.00  1217612     0.00     0.00  luke::Gripper::get_z_step()
  0.00      0.86     0.00  1033874     0.00     0.00  std::vector<int, std::allocator<int> >::begin()
  0.00      0.86     0.00  1033869     0.00     0.00  luke::Gripper::set_th_rad(double)
  0.00      0.86     0.00  1033869     0.00     0.00  luke::Gripper::set_xyz_m_rad(double, double, double)
  0.00      0.86     0.00  1033869     0.00     0.00  luke::Gripper::calc_y(double)
  0.00      0.86     0.00  1033767     0.00     0.00  std::array<int, 3ul>::operator[](unsigned long)
  0.00      0.86     0.00   960571     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.86     0.00   953534     0.00     0.00  luke::ObjectHandler::Contact::~Contact()
  0.00      0.86     0.00   944919     0.00     0.00  luke::ObjectHandler::Contact::Contact(luke::ObjectHandler::Contact const&)
  0.00      0.86     0.00   906345     0.00     0.00  std::vector<bool*, std::allocator<bool*> >::operator[](unsigned long)
  0.00      0.86     0.00   868944     0.00     0.00  std::remove_reference<double*&>::type&& std::move<double*&>(double*&)
  0.00      0.86     0.00   689214     0.00     0.00  std::vector<luke::Gripper*, std::allocator<luke::Gripper*> >::operator[](unsigned long)
  0.00      0.86     0.00   686418     0.00     0.00  luke::myNum::get(int) const
  0.00      0.86     0.00   634189     0.00     0.00  std::vector<luke::ObjectHandler::Contact, std::allocator<luke::ObjectHandler::Contact> >::size() const
  0.00      0.86     0.00   579296     0.00     0.00  std::enable_if<std::__and_<std::__not_<std::__is_tuple_like<int> >, std::is_move_constructible<int>, std::is_move_assignable<int> >::value, void>::type std::swap<int>(int&, int&)
  0.00      0.86     0.00   561753     0.00     0.00  void std::_Construct<luke::ObjectHandler::Contact, luke::ObjectHandler::Contact const&>(luke::ObjectHandler::Contact*, luke::ObjectHandler::Contact const&)
  0.00      0.86     0.00   459460     0.00     0.00  std::vector<luke::Gripper*, std::allocator<luke::Gripper*> >::size() const
  0.00      0.86     0.00   411712     0.00     0.00  std::vector<float, std::allocator<float> >::operator[](unsigned long)
  0.00      0.86     0.00   383166     0.00     0.00  void __gnu_cxx::new_allocator<luke::ObjectHandler::Contact>::construct<luke::ObjectHandler::Contact, luke::ObjectHandler::Contact const&>(luke::ObjectHandler::Contact*, luke::ObjectHandler::Contact const&)
  0.00      0.86     0.00   383166     0.00     0.00  void std::allocator_traits<std::allocator<luke::ObjectHandler::Contact> >::construct<luke::ObjectHandler::Contact, luke::ObjectHandler::Contact const&>(std::allocator<luke::ObjectHandler::Contact>&, luke::ObjectHandler::Contact*, luke::ObjectHandler::Contact const&)
  0.00      0.86     0.00   361830     0.00     0.00  luke::Forces::All::~All()
  0.00      0.86     0.00   361830     0.00     0.00  luke::Forces::Gnd::~Gnd()
  0.00      0.86     0.00   361830     0.00     0.00  luke::Forces::Obj::~Obj()
  0.00      0.86     0.00   361830     0.00     0.00  luke::Forces::~Forces()
  0.00      0.86     0.00   353215     0.00     0.00  luke::Forces::All::All()
  0.00      0.86     0.00   353215     0.00     0.00  luke::Forces::Gnd::Gnd()
  0.00      0.86     0.00   353215     0.00     0.00  luke::Forces::Obj::Obj()
  0.00      0.86     0.00   351492     0.00     0.00  arma::Mat<double>::~Mat()
  0.00      0.86     0.00   349324     0.00     0.00  std::__array_traits<double, 6ul>::_S_ref(double const (&) [6], unsigned long)
  0.00      0.86     0.00   349324     0.00     0.00  std::array<double, 6ul>::operator[](unsigned long)
  0.00      0.86     0.00   344623     0.00     0.00  luke::update_all(mjModel_ const*, mjData_*)
  0.00      0.86     0.00   344600     0.00     0.00  luke::after_step(mjModel_*, mjData_*)
  0.00      0.86     0.00   344600     0.00     0.00  luke::before_step(mjModel_*, mjData_*)
  0.00      0.86     0.00   344600     0.00     0.00  luke::control_base(mjModel_ const*, mjData_*)
  0.00      0.86     0.00   344600     0.00     0.00  luke::is_target_step()
  0.00      0.86     0.00   344600     0.00     0.00  luke::is_target_reached()
  0.00      0.86     0.00   344600     0.00     0.00  MjClass::step()
  0.00      0.86     0.00   338336     0.00     0.00  __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >::base() const
  0.00      0.86     0.00   327370     0.00     0.00  luke::myNum::myNum(double*, int, int)
  0.00      0.86     0.00   289648     0.00     0.00  std::enable_if<std::__and_<std::__not_<std::__is_tuple_like<double*> >, std::is_move_constructible<double*>, std::is_move_assignable<double*> >::value, void>::type std::swap<double*>(double*&, double*&)
  0.00      0.86     0.00   267112     0.00     0.00  float* std::__niter_base<float*>(float*)
  0.00      0.86     0.00   249294     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_M_get_Tp_allocator()
