Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 23.08      0.06     0.06  8861125     0.00     0.00  luke::myNum::myNum(int, int)
 11.54      0.09     0.03   398348     0.00     0.00  luke::ObjectHandler::Contact::check_involves(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
  3.85      0.10     0.01  4381828     0.00     0.00  __gnu_cxx::__enable_if<std::__is_char<char>::__value, bool>::__type std::operator==<char>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  3.85      0.11     0.01  1037518     0.00     0.00  std::vector<int, std::allocator<int> >::end()
  3.85      0.12     0.01   797579     0.00     0.00  std::iterator_traits<char*>::difference_type std::distance<char*>(char*, char*)
  3.85      0.13     0.01   411518     0.00     0.00  double* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<double>(double const*, double const*, double*)
  3.85      0.14     0.01   411502     0.00     0.00  double* std::copy<double*, double*>(double*, double*, double*)
  3.85      0.15     0.01   388496     0.00     0.00  luke::Gripper::get_z_step()
  3.85      0.16     0.01   388496     0.00     0.00  luke::Gripper::update_z()
  3.85      0.17     0.01   345823     0.00     0.00  luke::update_stepper(mjModel_ const*, mjData_*)
  3.85      0.18     0.01   345800     0.00     0.00  luke::control_gripper(mjModel_ const*, mjData_*, luke::Gripper&)
  3.85      0.19     0.01   345800     0.00     0.00  MjClass::monitor_sensors()
  3.85      0.20     0.01   345800     0.00     0.00  MjClass::step()
  3.85      0.21     0.01   165984     0.00     0.00  arma::Col<double>::Col(double*, unsigned long long, bool, bool)
  3.85      0.22     0.01    62244     0.00     0.00  void arma::eglue_core<arma::eglue_schur>::apply<arma::Mat<double>, arma::Col<double>, arma::Col<double> >(arma::Mat<double>&, arma::eGlue<arma::Col<double>, arma::Col<double>, arma::eglue_schur> const&)
  3.85      0.23     0.01    24500     0.00     0.00  MjType::Sensor::get_n_readings(float)
  3.85      0.24     0.01    20748     0.00     0.00  arma::Col<double>::Col<arma::Glue<arma::subview<double>, arma::subview<double>, arma::glue_polyfit> >(arma::Base<double, arma::Glue<arma::subview<double>, arma::subview<double>, arma::glue_polyfit> > const&)
  3.85      0.25     0.01     8645     0.00     0.01  luke::ObjectHandler::extract_forces_faster(mjModel_ const*, mjData_*)
  3.85      0.26     0.01     6916     0.00     0.01  luke::get_gauge_data(mjModel_ const*, mjData_*)
