Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  8.33      0.01     0.01  5437894     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
  8.33      0.02     0.01  2215749     0.00     0.00  luke::myNum::~myNum()
  8.33      0.03     0.01  1233078     0.00     0.00  double* std::__miter_base<double*>(double*)
  8.33      0.04     0.01   616533     0.00     0.00  double* std::__copy_move_a2<false, double*, double*>(double*, double*, double*)
  8.33      0.05     0.01   260097     0.00     0.00  luke::myNum::init(double*, int, int)
  8.33      0.06     0.01   180039     0.00     0.00  luke::Gripper::set_xyz_m_rad(double, double, double)
  8.33      0.07     0.01    60013     0.00     0.00  luke::update_objects(mjModel_ const*, mjData_*)
  8.33      0.08     0.01    20000     0.00     0.00  luke::check_settling()
  8.33      0.09     0.01    10633     0.00     0.00  std::allocator_traits<std::allocator<luke::ObjectHandler::Contact> >::allocate(std::allocator<luke::ObjectHandler::Contact>&, unsigned long)
  8.33      0.10     0.01     1500     0.01     0.03  luke::ObjectHandler::get_all_contacts(mjModel_ const*, mjData_*)
  4.17      0.11     0.01  1200658     0.00     0.00  std::_Bit_iterator_base::_Bit_iterator_base(unsigned long*, unsigned int)
  4.17      0.11     0.01   225510     0.00     0.00  luke::Gripper::get_x_step()
  4.17      0.12     0.01                             luke::Gripper::get_th_deg()
  4.17      0.12     0.01                             std::_Bit_reference::operator=(std::_Bit_reference const&)
  0.00      0.12     0.00  5701027     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long)
  0.00      0.12     0.00  1849655     0.00     0.00  double* std::__niter_base<double*>(double*)
  0.00      0.12     0.00  1537500     0.00     0.00  luke::myNum::myNum(int, int)
  0.00      0.12     0.00  1263103     0.00     0.00  std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::size() const
  0.00      0.12     0.00  1200871     0.00     0.00  std::vector<luke::QPos, std::allocator<luke::QPos> >::operator[](unsigned long)
  0.00      0.12     0.00  1200660     0.00     0.00  std::_Bit_iterator::operator*() const
  0.00      0.12     0.00  1200660     0.00     0.00  std::_Bit_reference::_Bit_reference(unsigned long*, unsigned long)
  0.00      0.12     0.00  1200624     0.00     0.00  std::_Bit_iterator::_Bit_iterator(unsigned long*, unsigned int)
  0.00      0.12     0.00  1200620     0.00     0.00  std::vector<bool, std::allocator<bool> >::operator[](unsigned long)
  0.00      0.12     0.00  1200580     0.00     0.00  std::_Bit_reference::operator bool() const
  0.00      0.12     0.00  1200382     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const
  0.00      0.12     0.00  1200300     0.00     0.00  luke::QPos::update(mjModel_ const*, mjData_ const*, int)
  0.00      0.12     0.00  1080036     0.00     0.00  std::__array_traits<std::array<int, 2ul>, 3ul>::_S_ref(std::array<int, 2ul> const (&) [3], unsigned long)
  0.00      0.12     0.00  1080036     0.00     0.00  std::__array_traits<int, 2ul>::_S_ref(int const (&) [2], unsigned long)
  0.00      0.12     0.00  1080036     0.00     0.00  std::array<std::array<int, 2ul>, 3ul>::operator[](unsigned long)
  0.00      0.12     0.00  1080036     0.00     0.00  std::array<int, 2ul>::operator[](unsigned long)
  0.00      0.12     0.00  1080036     0.00     0.00  std::vector<std::array<std::array<int, 2ul>, 3ul>*, std::allocator<std::array<std::array<int, 2ul>, 3ul>*> >::operator[](unsigned long)
  0.00      0.12     0.00   744689     0.00     0.00  __gnu_cxx::__enable_if<std::__is_char<char>::__value, bool>::__type std::operator==<char>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      0.12     0.00   676683     0.00     0.00  luke::myNum::size() const
  0.00      0.12     0.00   658713     0.00     0.00  std::char_traits<char>::compare(char const*, char const*, unsigned long)
  0.00      0.12     0.00   616637     0.00     0.00  luke::myNum::myNum(luke::myNum const&)
  0.00      0.12     0.00   616549     0.00     0.00  double* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<double>(double const*, double const*, double*)
  0.00      0.12     0.00   616533     0.00     0.00  double* std::__copy_move_a<false, double*, double*>(double*, double*, double*)
  0.00      0.12     0.00   616533     0.00     0.00  double* std::copy<double*, double*>(double*, double*, double*)
  0.00      0.12     0.00   600076     0.00     0.00  bool __gnu_cxx::operator!=<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&)
  0.00      0.12     0.00   477483     0.00     0.00  bool __gnu_cxx::__is_null_pointer<char>(char*)
  0.00      0.12     0.00   477483     0.00     0.00  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char*>(char*, char*, std::forward_iterator_tag)
  0.00      0.12     0.00   477483     0.00     0.00  std::iterator_traits<char*>::difference_type std::__distance<char*>(char*, char*, std::random_access_iterator_tag)
  0.00      0.12     0.00   477483     0.00     0.00  std::iterator_traits<char*>::iterator_category std::__iterator_category<char*>(char* const&)
  0.00      0.12     0.00   477483     0.00     0.00  std::iterator_traits<char*>::difference_type std::distance<char*>(char*, char*)
  0.00      0.12     0.00   420274     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  0.00      0.12     0.00   420070     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator++()
  0.00      0.12     0.00   420070     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator*() const
  0.00      0.12     0.00   420000     0.00     0.00  std::abs(double)
  0.00      0.12     0.00   406194     0.00     0.00  luke::ObjectHandler::Contact::involves(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
  0.00      0.12     0.00   392796     0.00     0.00  std::vector<luke::ObjectHandler::Contact, std::allocator<luke::ObjectHandler::Contact> >::operator[](unsigned long)
  0.00      0.12     0.00   360202     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::__normal_iterator(int* const&)
  0.00      0.12     0.00   338400     0.00     0.00  void arma::arma_check<char [37]>(bool, char const (&) [37])
  0.00      0.12     0.00   303024     0.00     0.00  std::remove_reference<int&>::type&& std::move<int&>(int&)
  0.00      0.12     0.00   300000     0.00     0.00  MjType::Sensor::ready_to_read(double)
  0.00      0.12     0.00   273723     0.00     0.00  luke::ObjectHandler::Contact* std::__addressof<luke::ObjectHandler::Contact>(luke::ObjectHandler::Contact&)
  0.00      0.12     0.00   249043     0.00     0.00  luke::ObjectHandler::Contact const& std::forward<luke::ObjectHandler::Contact const&>(std::remove_reference<luke::ObjectHandler::Contact const&>::type&)
  0.00      0.12     0.00   225510     0.00     0.00  luke::Gripper::get_y_step()
  0.00      0.12     0.00   225510     0.00     0.00  luke::Gripper::calc_max_fingertip_angle()
  0.00      0.12     0.00   225510     0.00     0.00  luke::Gripper::calc_th(double, double)
  0.00      0.12     0.00   225510     0.00     0.00  luke::Gripper::update_xy()
  0.00      0.12     0.00   212910     0.00     0.00  luke::Gripper::get_z_step()
  0.00      0.12     0.00   212910     0.00     0.00  luke::Gripper::update_z()
  0.00      0.12     0.00   180098     0.00     0.00  std::vector<int, std::allocator<int> >::end()
  0.00      0.12     0.00   180074     0.00     0.00  std::vector<int, std::allocator<int> >::begin()
  0.00      0.12     0.00   180039     0.00     0.00  luke::Gripper::set_th_rad(double)
  0.00      0.12     0.00   180039     0.00     0.00  luke::Gripper::calc_y(double)
  0.00      0.12     0.00   180000     0.00     0.00  std::__array_traits<int, 3ul>::_S_ref(int const (&) [3], unsigned long)
  0.00      0.12     0.00   180000     0.00     0.00  std::array<int, 3ul>::operator[](unsigned long)
  0.00      0.12     0.00   174379     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.12     0.00   172211     0.00     0.00  luke::ObjectHandler::Contact::~Contact()
