Flat profile:  (luke: total time 42.6 seconds)

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.41     0.00   407641     0.00     0.00  luke::Gripper::update_z()
  0.00      0.41     0.00   370516     0.00     0.00  luke::myNum::size() const
  0.00      0.41     0.00   364350     0.00     0.00  std::vector<float, std::allocator<float> >::operator[](unsigned long)
  0.00      0.41     0.00   362896     0.00     0.00  luke::myNum::myNum(luke::myNum const&)
  0.00      0.41     0.00   362728     0.00     0.00  double* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<double>(double const*, double const*, double*)
  0.00      0.41     0.00   362712     0.00     0.00  double* std::__copy_move_a<false, double*, double*>(double*, double*, double*)
  0.00      0.41     0.00   362712     0.00     0.00  double* std::__copy_move_a2<false, double*, double*>(double*, double*, double*)
  0.00      0.41     0.00   362712     0.00     0.00  double* std::copy<double*, double*>(double*, double*, double*)
  0.00      0.41     0.00   344792     0.00     0.00  std::enable_if<std::__and_<std::__not_<std::__is_tuple_like<int> >, std::is_move_constructible<int>, std::is_move_assignable<int> >::value, void>::type std::swap<int>(int&, int&)
  0.00      0.41     0.00   336893     0.00     0.00  luke::ObjectHandler::Contact::check_involves(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
  0.00      0.41     0.00   336893     0.00     0.00  luke::ObjectHandler::Contact::with_any()
  0.00      0.41     0.00   320040     0.00     0.00  luke::Forces::All::~All()
  0.00      0.41     0.00   320040     0.00     0.00  luke::Forces::~Forces()
  0.00      0.41     0.00   312420     0.00     0.00  luke::Forces::Gnd::Gnd()
  0.00      0.41     0.00   312420     0.00     0.00  luke::Forces::Forces()
  0.00      0.41     0.00   310896     0.00     0.00  arma::Mat<double>::~Mat()
  0.00      0.41     0.00   308973     0.00     0.00  std::__array_traits<double, 6ul>::_S_ref(double const (&) [6], unsigned long)
  0.00      0.41     0.00   308973     0.00     0.00  std::array<double, 6ul>::operator[](unsigned long)
  0.00      0.41     0.00   304823     0.00     0.00  luke::update_all(mjModel_ const*, mjData_*)
  0.00      0.41     0.00   304823     0.00     0.00  luke::Gripper::set_xyz_m_rad(double, double, double)
  0.00      0.41     0.00   304800     0.00     0.00  luke::after_step(mjModel_*, mjData_*)
  0.00      0.41     0.00   304800     0.00     0.00  luke::before_step(mjModel_*, mjData_*)
  0.00      0.41     0.00   304800     0.00     0.00  luke::control_base(mjModel_ const*, mjData_*)
  0.00      0.41     0.00   304800     0.00     0.00  luke::is_target_step()
  0.00      0.41     0.00   304800     0.00     0.00  luke::is_target_reached()
  0.00      0.41     0.00   304800     0.00     0.00  luke::step(mjModel_*, mjData_*)
  0.00      0.41     0.00   304800     0.00     0.00  luke::control(mjModel_ const*, mjData_*)
  0.00      0.41     0.00   304800     0.00     0.00  MjClass::monitor_sensors()
  0.00      0.41     0.00   299730     0.00     0.00  __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >::base() const
  0.00      0.41     0.00   236665     0.00     0.00  float* std::__niter_base<float*>(float*)
  0.00      0.41     0.00   220837     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_M_get_Tp_allocator()
  0.00      0.41     0.00   203940     0.00     0.00  __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >::__normal_iterator(float* const&)
  0.00      0.41     0.00   201552     0.00     0.00  std::vector<float, std::allocator<float> >::size() const
  0.00      0.41     0.00   201168     0.00     0.00  arma::Col<double>::~Col()
  0.00      0.41     0.00   190500     0.00     0.00  luke::myNum::init(double*, int, int)
  0.00      0.41     0.00   178325     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
  0.00      0.41     0.00   172396     0.00     0.00  luke::swap(luke::myNum&, luke::myNum&)
  0.00      0.41     0.00   172396     0.00     0.00  luke::myNum::operator=(luke::myNum)
  0.00      0.41     0.00   172396     0.00     0.00  std::enable_if<std::__and_<std::__not_<std::__is_tuple_like<double*> >, std::is_move_constructible<double*>, std::is_move_assignable<double*> >::value, void>::type std::swap<double*>(double*&, double*&)
  0.00      0.41     0.00   146304     0.00     0.00  arma::Mat<double>::Mat(double*, unsigned long long, unsigned long long, bool, bool)
  0.00      0.41     0.00   118480     0.00     0.00  __gnu_cxx::new_allocator<float>::~new_allocator()
  0.00      0.41     0.00   118480     0.00     0.00  std::allocator<float>::~allocator()
  0.00      0.41     0.00   112632     0.00     0.00  __gnu_cxx::new_allocator<float>::max_size() const
  0.00      0.41     0.00   109728     0.00     0.00  arma::Mat<double>::init_warm(unsigned long long, unsigned long long)
  0.00      0.41     0.00   109728     0.00     0.00  arma::Proxy<arma::Col<double> >::Proxy(arma::Col<double> const&)
  0.00      0.41     0.00   108188     0.00     0.00  std::move_iterator<float*>::base() const
  0.00      0.41     0.00   108188     0.00     0.00  std::move_iterator<float*>::move_iterator(float*)
  0.00      0.41     0.00   108188     0.00     0.00  decltype (__miter_base(({parm#1}.base)())) std::__miter_base<float*>(std::move_iterator<float*>)
  0.00      0.41     0.00   108188     0.00     0.00  float* std::__miter_base<float*>(float*)
  0.00      0.41     0.00   102743     0.00     0.00  luke::Gripper::set_xyz_step(int, int, int)
  0.00      0.41     0.00   102743     0.00     0.00  luke::Gripper::set_z_m(double)
  0.00      0.41     0.00   102743     0.00     0.00  luke::Gripper::set_xy_m(double, double)
  0.00      0.41     0.00    86678     0.00     0.00  void std::_Destroy_aux<true>::__destroy<float*>(float*, float*)
  0.00      0.41     0.00    86678     0.00     0.00  void std::_Destroy<float*>(float*, float*)
  0.00      0.41     0.00    86678     0.00     0.00  void std::_Destroy<float*, float>(float*, float*, std::allocator<float>&)
  0.00      0.41     0.00    86264     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_M_deallocate(float*, unsigned long)
  0.00      0.41     0.00    84975     0.00     0.00  float* std::__niter_base<float*, std::vector<float, std::allocator<float> > >(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >)
  0.00      0.41     0.00    80378     0.00     0.00  std::move_iterator<float*> std::__make_move_if_noexcept_iterator<float, std::move_iterator<float*> >(float*)
  0.00      0.41     0.00    80046     0.00     0.00  __gnu_cxx::new_allocator<float>::new_allocator(__gnu_cxx::new_allocator<float> const&)
  0.00      0.41     0.00    80046     0.00     0.00  std::allocator<float>::allocator(std::allocator<float> const&)
  0.00      0.41     0.00    77250     0.00     0.00  std::vector<float, std::allocator<float> >::begin()
  0.00      0.41     0.00    73152     0.00     0.00  void arma::arma_check<char [53]>(bool, char const (&) [53])
  0.00      0.41     0.00    73152     0.00     0.00  void arma::arma_check<char const*>(bool, char const* const&)
  0.00      0.41     0.00    73152     0.00     0.00  void arma::arma_check_bad_alloc<char [39]>(bool, char const (&) [39])
  0.00      0.41     0.00    73152     0.00     0.00  arma::Mat<double>::init_cold()
  0.00      0.41     0.00    73152     0.00     0.00  double* arma::memory::acquire<double>(unsigned long long)
  0.00      0.41     0.00    73152     0.00     0.00  void arma::arrayops::inplace_set<double>(double*, double, unsigned long long)
  0.00      0.41     0.00    73152     0.00     0.00  std::numeric_limits<unsigned long>::max()
  0.00      0.41     0.00    73152     0.00     0.00  __gnu_cxx::__promote_2<double, int, __gnu_cxx::__promote<double, std::__is_integer<double>::__value>::__type, __gnu_cxx::__promote<int, std::__is_integer<int>::__value>::__type>::__type std::pow<double, int>(double, int)
  0.00      0.41     0.00    72424     0.00     0.00  __gnu_cxx::new_allocator<float>::deallocate(float*, unsigned long)
  0.00      0.41     0.00    72424     0.00     0.00  __gnu_cxx::new_allocator<float>::allocate(unsigned long, void const*)
  0.00      0.41     0.00    72424     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_M_allocate(unsigned long)
  0.00      0.41     0.00    72424     0.00     0.00  std::allocator_traits<std::allocator<float> >::deallocate(std::allocator<float>&, float*, unsigned long)
  0.00      0.41     0.00    72424     0.00     0.00  std::allocator_traits<std::allocator<float> >::allocate(std::allocator<float>&, unsigned long)
  0.00      0.41     0.00    71070     0.00     0.00  __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > std::__miter_base<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > >(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >)
  0.00      0.41     0.00    69525     0.00     0.00  std::vector<float, std::allocator<float> >::end()
  0.00      0.41     0.00    66160     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_Vector_impl::~_Vector_impl()
  0.00      0.41     0.00    66160     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::~_Vector_base()
  0.00      0.41     0.00    66160     0.00     0.00  std::vector<float, std::allocator<float> >::~vector()
  0.00      0.41     0.00    64890     0.00     0.00  __gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >::__normal_iterator(float const* const&)
  0.00      0.41     0.00    61838     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_M_get_Tp_allocator() const
  0.00      0.41     0.00    60960     0.00     0.00  MjType::Sensor::apply_normalisation(float)
  0.00      0.41     0.00    57165     0.00     0.00  std::iterator_traits<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > >::iterator_category std::__iterator_category<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > >(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > const&)
  0.00      0.41     0.00    54864     0.00     0.00  void arma::arma_check<char [74]>(bool, char const (&) [74])
  0.00      0.41     0.00    54864     0.00     0.00  void arma::eglue_core<arma::eglue_schur>::apply<arma::Mat<double>, arma::Col<double>, arma::Col<double> >(arma::Mat<double>&, arma::eGlue<arma::Col<double>, arma::Col<double>, arma::eglue_schur> const&)
  0.00      0.41     0.00    54864     0.00     0.00  arma::eglue_schur::text()
  0.00      0.41     0.00    54864     0.00     0.00  arma::Col<double>& arma::Col<double>::operator=<arma::eGlue<arma::Col<double>, arma::Col<double>, arma::eglue_schur> >(arma::Base<double, arma::eGlue<arma::Col<double>, arma::Col<double>, arma::eglue_schur> > const&)
  0.00      0.41     0.00    54864     0.00     0.00  arma::Mat<double> const& arma::Mat<double>::fill<arma::fill::fill_zeros>(arma::fill::fill_class<arma::fill::fill_zeros> const&)
  0.00      0.41     0.00    54864     0.00     0.00  arma::Mat<double>::zeros()
  0.00      0.41     0.00    54864     0.00     0.00  arma::Mat<double>& arma::Mat<double>::operator=<arma::Col<double>, arma::Col<double>, arma::eglue_schur>(arma::eGlue<arma::Col<double>, arma::Col<double>, arma::eglue_schur> const&)
  0.00      0.41     0.00    54864     0.00     0.00  arma::subview<double>::~subview()
  0.00      0.41     0.00    54864     0.00     0.00  void arma::arrayops::fill_zeros<double>(double*, unsigned long long)
  0.00      0.41     0.00    54864     0.00     0.00  int const& std::max<int>(int const&, int const&)
  0.00      0.41     0.00    54864     0.00     0.00  std::remove_reference<float*&>::type&& std::move<float*&>(float*&)
  0.00      0.41     0.00    54094     0.00     0.00  float* std::__copy_move<true, true, std::random_access_iterator_tag>::__copy_m<float>(float const*, float const*, float*)
  0.00      0.41     0.00    54094     0.00     0.00  float* std::__uninitialized_copy<true>::__uninit_copy<std::move_iterator<float*>, float*>(std::move_iterator<float*>, std::move_iterator<float*>, float*)
  0.00      0.41     0.00    54094     0.00     0.00  float* std::__copy_move_a<true, float*, float*>(float*, float*, float*)
  0.00      0.41     0.00    54094     0.00     0.00  float* std::__copy_move_a2<true, float*, float*>(float*, float*, float*)
  0.00      0.41     0.00    54094     0.00     0.00  float* std::uninitialized_copy<std::move_iterator<float*>, float*>(std::move_iterator<float*>, std::move_iterator<float*>, float*)
  0.00      0.41     0.00    54094     0.00     0.00  float* std::__uninitialized_copy_a<std::move_iterator<float*>, float*, float>(std::move_iterator<float*>, std::move_iterator<float*>, float*, std::allocator<float>&)
  0.00      0.41     0.00    54094     0.00     0.00  float* std::copy<std::move_iterator<float*>, float*>(std::move_iterator<float*>, std::move_iterator<float*>, float*)
  0.00      0.41     0.00    52320     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_Vector_impl::_Vector_impl(std::allocator<float> const&)
  0.00      0.41     0.00    47895     0.00     0.00  __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >::difference_type __gnu_cxx::operator-<float*, std::vector<float, std::allocator<float> > >(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > const&, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > const&)
  0.00      0.41     0.00    43260     0.00     0.00  __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >::operator+(long) const
  0.00      0.41     0.00    43260     0.00     0.00  __gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > > std::__miter_base<__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > > >(__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >)
  0.00      0.41     0.00    43260     0.00     0.00  float const* std::__niter_base<float const*, std::vector<float, std::allocator<float> > >(__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >)
  0.00      0.41     0.00    43176     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_M_create_storage(unsigned long)
  0.00      0.41     0.00    43176     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_Vector_base(unsigned long, std::allocator<float> const&)
  0.00      0.41     0.00    40208     0.00     0.00  std::vector<float, std::allocator<float> >::max_size() const
  0.00      0.41     0.00    40208     0.00     0.00  std::allocator_traits<std::allocator<float> >::max_size(std::allocator<float> const&)
  0.00      0.41     0.00    38434     0.00     0.00  __gnu_cxx::new_allocator<float>::new_allocator()
  0.00      0.41     0.00    38434     0.00     0.00  std::allocator<float>::allocator()
  0.00      0.41     0.00    37080     0.00     0.00  float const& std::forward<float const&>(std::remove_reference<float const&>::type&)
  0.00      0.41     0.00    36576     0.00     0.00  void arma::arma_check<char [32]>(bool, char const (&) [32])
  0.00      0.41     0.00    36576     0.00     0.00  void arma::arma_check<char [63]>(bool, char const (&) [63])
  0.00      0.41     0.00    36576     0.00     0.00  arma::subview_col<double>::subview_col(arma::Mat<double> const&, unsigned long long)
  0.00      0.41     0.00    36576     0.00     0.00  arma::subview_col<double>::~subview_col()
  0.00      0.41     0.00    36576     0.00     0.00  arma::quasi_unwrap<arma::subview<double> >::quasi_unwrap(arma::subview<double> const&)
  0.00      0.41     0.00    36576     0.00     0.00  arma::quasi_unwrap<arma::subview<double> >::~quasi_unwrap()
  0.00      0.41     0.00    36576     0.00     0.00  void arma::arma_assert_blas_size<arma::Mat<double> >(arma::Mat<double> const&)
  0.00      0.41     0.00    36576     0.00     0.00  arma::Col<double>::Col<arma::fill::fill_zeros>(unsigned long long, arma::fill::fill_class<arma::fill::fill_zeros> const&)
  0.00      0.41     0.00    36576     0.00     0.00  arma::Mat<double>::set_size(unsigned long long, unsigned long long)
  0.00      0.41     0.00    36576     0.00     0.00  arma::Mat<double>::Mat(arma::arma_vec_indicator const&, unsigned long long, unsigned long long, unsigned int)
  0.00      0.41     0.00    36576     0.00     0.00  arma::Mat<double>::Mat(arma::subview<double> const&, bool)
  0.00      0.41     0.00    36576     0.00     0.00  arma::Mat<double>::Mat()
  0.00      0.41     0.00    36576     0.00     0.00  void arma::lapack::geqrf<double>(int*, int*, double*, int*, double*, double*, int*, int*)
  0.00      0.41     0.00    36576     0.00     0.00  void arma::arrayops::inplace_set_small<double>(double*, double, unsigned long long)
  0.00      0.41     0.00    36576     0.00     0.00  arma::podarray<double>::init_cold(unsigned long long)
  0.00      0.41     0.00    36576     0.00     0.00  arma::podarray<double>::~podarray()
  0.00      0.41     0.00    35535     0.00     0.00  float* std::__copy_move_a<false, float*, float*>(float*, float*, float*)
  0.00      0.41     0.00    35052     0.00     0.00  luke::myNum::operator[](int)
  0.00      0.41     0.00    30774     0.00     0.00  float* std::__copy_move_a<false, float const*, float*>(float const*, float const*, float*)
  0.00      0.41     0.00    27810     0.00     0.00  std::move_iterator<float*> std::make_move_iterator<float*>(float*)
  0.00      0.41     0.00    23052     0.00     0.00  luke::myNum::myNum()
  0.00      0.41     0.00    21979     0.00     0.00  __gnu_cxx::__enable_if<std::__is_scalar<float>::__value, float*>::__type std::__fill_n_a<float*, unsigned long, float>(float*, unsigned long, float const&)
  0.00      0.41     0.00    21979     0.00     0.00  float* std::fill_n<float*, unsigned long, float>(float*, unsigned long, float const&)
  0.00      0.41     0.00    21649     0.00     0.00  luke::SlidingWindow<float>::~SlidingWindow()
  0.00      0.41     0.00    21630     0.00     0.00  luke::SlidingWindow<float>::SlidingWindow(luke::SlidingWindow<float> const&)
  0.00      0.41     0.00    21630     0.00     0.00  MjType::Sensor::get_n_readings(float)
  0.00      0.41     0.00    21630     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<float> >::_S_select_on_copy(std::allocator<float> const&)
  0.00      0.41     0.00    21630     0.00     0.00  __gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >::__normal_iterator<float*>(__gnu_cxx::__normal_iterator<float*, __gnu_cxx::__enable_if<std::__are_same<float*, float*>::__value, std::vector<float, std::allocator<float> > >::__type> const&)
  0.00      0.41     0.00    21630     0.00     0.00  __gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >::difference_type __gnu_cxx::operator-<float const*, std::vector<float, std::allocator<float> > >(__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > > const&, __gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > > const&)
  0.00      0.41     0.00    21630     0.00     0.00  bool __gnu_cxx::operator!=<float*, std::vector<float, std::allocator<float> > >(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > const&, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > const&)
  0.00      0.41     0.00    21630     0.00     0.00  std::vector<float, std::allocator<float> >::end() const
  0.00      0.41     0.00    21630     0.00     0.00  std::vector<float, std::allocator<float> >::begin() const
  0.00      0.41     0.00    21630     0.00     0.00  std::vector<float, std::allocator<float> >::cbegin() const
