Flat profile: (luke: total time 47.6 seconds)

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.63     0.00  1033869     0.00     0.00  luke::Gripper::calc_y(double)
  0.00      0.63     0.00   820160     0.00     0.00  double* std::__miter_base<double*>(double*)
  0.00      0.63     0.00   767215     0.00     0.00  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char*>(char*, char*, std::forward_iterator_tag)
  0.00      0.63     0.00   767215     0.00     0.00  std::iterator_traits<char*>::difference_type std::__distance<char*>(char*, char*, std::random_access_iterator_tag)
  0.00      0.63     0.00   767215     0.00     0.00  std::iterator_traits<char*>::iterator_category std::__iterator_category<char*>(char* const&)
  0.00      0.63     0.00   767215     0.00     0.00  std::iterator_traits<char*>::difference_type std::distance<char*>(char*, char*)
  0.00      0.63     0.00   584649     0.00     0.00  std::remove_reference<double*&>::type&& std::move<double*&>(double*&)
  0.00      0.63     0.00   418873     0.00     0.00  luke::myNum::size() const
  0.00      0.63     0.00   411712     0.00     0.00  std::vector<float, std::allocator<float> >::operator[](unsigned long)
  0.00      0.63     0.00   410090     0.00     0.00  double* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<double>(double const*, double const*, double*)
  0.00      0.63     0.00   410074     0.00     0.00  double* std::__copy_move_a<false, double*, double*>(double*, double*, double*)
  0.00      0.63     0.00   410074     0.00     0.00  double* std::__copy_move_a2<false, double*, double*>(double*, double*, double*)
  0.00      0.63     0.00   410074     0.00     0.00  double* std::copy<double*, double*>(double*, double*, double*)
  0.00      0.63     0.00   389766     0.00     0.00  std::enable_if<std::__and_<std::__not_<std::__is_tuple_like<int> >, std::is_move_constructible<int>, std::is_move_assignable<int> >::value, void>::type std::swap<int>(int&, int&)
  0.00      0.63     0.00   383166     0.00     0.00  luke::ObjectHandler::Contact::check_involves(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
  0.00      0.63     0.00   383166     0.00     0.00  luke::ObjectHandler::Contact::with_any()
  0.00      0.63     0.00   361830     0.00     0.00  luke::Forces::All::~All()
  0.00      0.63     0.00   361830     0.00     0.00  luke::Forces::Gnd::~Gnd()
  0.00      0.63     0.00   361830     0.00     0.00  luke::Forces::Obj::~Obj()
  0.00      0.63     0.00   361830     0.00     0.00  luke::Forces::~Forces()
  0.00      0.63     0.00   353215     0.00     0.00  luke::Forces::All::All()
  0.00      0.63     0.00   353215     0.00     0.00  luke::Forces::Gnd::Gnd()
  0.00      0.63     0.00   353215     0.00     0.00  luke::Forces::Obj::Obj()
  0.00      0.63     0.00   351492     0.00     0.00  arma::Mat<double>::~Mat()
  0.00      0.63     0.00   349324     0.00     0.00  std::__array_traits<double, 6ul>::_S_ref(double const (&) [6], unsigned long)
  0.00      0.63     0.00   349324     0.00     0.00  std::array<double, 6ul>::operator[](unsigned long)
  0.00      0.63     0.00   344623     0.00     0.00  luke::update_all(mjModel_ const*, mjData_*)
  0.00      0.63     0.00   344623     0.00     0.00  luke::update_stepper(mjModel_ const*, mjData_*)
  0.00      0.63     0.00   344600     0.00     0.00  luke::after_step(mjModel_*, mjData_*)
  0.00      0.63     0.00   344600     0.00     0.00  luke::control_base(mjModel_ const*, mjData_*)
  0.00      0.63     0.00   344600     0.00     0.00  luke::is_target_step()
  0.00      0.63     0.00   344600     0.00     0.00  luke::control_gripper(mjModel_ const*, mjData_*, luke::Gripper&)
  0.00      0.63     0.00   344600     0.00     0.00  luke::step(mjModel_*, mjData_*)
  0.00      0.63     0.00   344600     0.00     0.00  luke::control(mjModel_ const*, mjData_*)
