Flat profile: (luke: total time 49.8)

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  8.93      0.05     0.05   344623     0.00     0.00  luke::update_state(mjModel_ const*, mjData_*)
  7.14      0.09     0.04 32738817     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long)
  7.14      0.13     0.04  6892500     0.00     0.00  luke::QPos::update(mjModel_ const*, mjData_ const*, int)
  5.36      0.16     0.03  8830375     0.00     0.00  luke::myNum::myNum(int, int)
  5.36      0.19     0.03  6893044     0.00     0.00  std::_Bit_iterator::_Bit_iterator(unsigned long*, unsigned int)
  4.46      0.22     0.03 31215396     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
  3.57      0.24     0.02  7241836     0.00     0.00  std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::size() const
  3.57      0.26     0.02  6893080     0.00     0.00  std::_Bit_iterator::operator*() const
  3.57      0.28     0.02  4214826     0.00     0.00  __gnu_cxx::__enable_if<std::__is_char<char>::__value, bool>::__type std::operator==<char>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  3.57      0.30     0.02  1165391     0.00     0.00  luke::Gripper::update_xy()
  3.57      0.32     0.02   344623     0.00     0.00  luke::update_objects(mjModel_ const*, mjData_*)
  3.57      0.34     0.02   344600     0.00     0.00  luke::control_gripper(mjModel_ const*, mjData_*, luke::Gripper&)
  2.68      0.35     0.02       23     0.65     0.65  std::vector<int, std::allocator<int> >::resize(unsigned long, int const&)
  1.79      0.36     0.01  9275285     0.00     0.00  luke::myNum::~myNum()
  1.79      0.37     0.01  6893078     0.00     0.00  std::_Bit_iterator_base::_Bit_iterator_base(unsigned long*, unsigned int)
  1.79      0.38     0.01  6892422     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const
